,Topics,Authors,Date,Description
827,"Resource planning and resource allocation in the construction industry. 
","Mendoza, Charles E.",1995,"This study evaluates the accuracy of an established
reliability measurement procedure (NAVWEPS OD 29304) by
computer simulation. The reliability measurement procedure
assumes components fail according to an Exponential ..."
828,"An analysis of coherent and differentially coherent digital receivers in the presence of colored noise interference. 
","Shoop, Barry L.",1986,no description
829,"Truncated sum MVL minimization using the neighborhood decoupling algorithm. 
","Wang, Yao-Ming.",1989,no description
830,"Evaluation of the accuracy of a reliability measurement procedure using simulation techniques. 
","Huffman, Kenneth Alan",1968-12,"Since the end of the Cold War, multifaceted risks have constituted the main danger to the security of Europe. These range from interstate disputes and social, ethnic, religious and economic crises, to the effects of ..."
831,"Effect of background frequency of occurrence on difficulty of verbal discrimination task. 
","Nappi, Louis Thomas.",1971,The Army is undergoing a major realignment in accordance with the Joint Vision 2010/2020 transformation to establish an enterprise command that is the single authority to operate and manage the Army Enterprise Information ...
832,"Investigation of a divergent barotropic prediction model for the 300-MB level. 
","Oakes, Winslow B.",1962,no description
833,"The development of a common security and defense policy in Europe 
","Kleindienst, Ralf",1999-06,no description
834,"Intelligent-Agent-Based Management of Heterogeneous Networks for the Army Enterprise 
","Richards, Clyde E., Jr.",36404,The objective of this project was to identify and more accurately predict the maintenance and supply  chain costs and savings related to the Agile Rapid Global Combat Support (ARGCS) system. The project  focused on a portion ...
835,"Role playing as a leadership training technique for non-commissioned officers of the United States Marine Corps. 
","Sweeney, John Brian.",1952,"The development of a multi-channel interior communication system utilizing a single wire 
as a transmission line was undertaken in this paper. The principle of time multiplexing 
was used incorporating the Pulse Amplitude ..."
836,"Evaluation of jitter in multichannel tape recorders used in shaft motion reproducers 
","Gussow, Milton; Hawe, S. Russell; Thyberg, Robert C.",1957-05,"The effects of boundary perturbations on finite-amplitude
acoustical standing waves in rectangular, rigid-walled
cavities were investigated using non-linear theory. When a
high amplitude standing wave of frequency w is ..."
837,"Discrete-event simulation modeling of the repairable inventory process to enhance the ARGCS business case analysis 
","Bello, Alfred P.; Carpenter, Robert B.; Rios, Frankie",2006-12,"An automatic, electronic controller was designed for use with
adiabatic calorimeters. The controller employed reset action, and
its behavior at different system gains was analyzed using the
analytic techniques of feedback ..."
838,"A multi-channel interior communication system utilizing time multiplexing 
","Kellem, Carl William",1969-12,"This thesis evaluates the effectiveness of the Fleet Support community's management practices in meeting the dynamic changes in the complex fleet support arena, while increasing its value to the Navy in the future. The ..."
839,"Finite amplitude effects in rectangular cavities with perturbed boundaries. 
","Kilmer, Milo Jethroe II",1975-12,"Ships, submarines, and missiles are currently manually allocated for naval strike warfare tasking. Naval Surface Warfare Center Dahlgren Division has proposed to the Office of Naval Research to develop automated ""predesignation"" ..."
840,"Automatic shield control for a moderate temperature adiabatic calorimeter. 
","Head, Herbert Weldon",1969-06,"The Marine Corps Intelligence, Surveillance, and Reconnaissance Enterprise (MCISR-E) faces ever-increasing complexity in the conduct of expeditionary operations. This research seeks to explore computer-supported collaborative ..."
841,"The Fleet Support community : meeting its mission in the 21st century 
","Murdy, Deanna M.",1999-06,"The Nuclear Regulatory Commission's (NRC) steady progress towards risk-informed, performance-based regulation (RIPBR) prompted the practical application of this regulatory tool in order to demonstrate its potential benefits. ..."
842,"Tomahawk strike coordinator predesignation : optimizing firing platform and weapon allocation 
","Kirk, Brian D.",1999-09,no description
843,"Crowdsourcing ISR: a systems thinking approach to knowledge dynamics in intelligence operations through application of collaborative filters 
","Hoffner, John J.",2013-09,Two programs which form part of a generalized air quality assessment model for USAF operations were obtained and analyzed. Areas of incompatibility with USN aircraft operations were identified and modified to closely ...
844,"Risk-informed performance based regulatory implications of improved emergency diesel generator reliability 
",Utton Shantel M.,1998,no description
845,"Jet attachment to Coanda walls in bistable amplifiers. 
","Richardson, Daniel Charles",1969,A technique for operating a pulse-width-modulated (PWM) dc-dc regulator in the boost mode while switching the MOSFET when the drain-to-source potential is near zero volts was developed and is described in this thesis. This ...
846,"Modification of an ambient air quality model for assessment of US naval aviation emittants. 
","Weal, Keith Irving",1975,The feasibility of a new manufacturing process of ceramic materials in which net shaped products are produced via sintering and simultaneously deforming is studied. A suitable model system of SiO2-B2O3 is chosen due to its ...
847,"A decision support system for the diagnosis of aircraft emergencies 
","Porter, Olen D.; Rowe, Neil C.",1986,"This thesis discusses the theory behind collision based and noncollision based
network protocols. From this basis, a complete theoretical performance analysis is
performed on both Ethernet and FDDI. The CAPSnet FDDI ..."
848,"Variable-frequency pulse-width-modulation for zero-voltage switching in a boost DC-DC regulator 
","Hunter, Daniel Scott",1990-03,"The Voluntary Intermodal Sealift Agreement (VISA) was established as an Emergency Preparedness Program on January 30, 1997 following the passage of the Maritime Security Act of 1996 that led to the subsequent establishment ..."
849,"A feasibility study of liquid phase sinter forming of a model ceramic system by Roland Charles Roeder. 
","Roeder, Roland Charles",1999-03,"The following project studies the refurbishment of the Mercedes-Benz trucks by the Botswana Defence Force. The study covers the application of project management techniques, evaluation as well as the quality of the refurbished ..."
850,"FDDI installation and performance analysis. 
","Hammar, Gifford Allen",1992-12,"The Arabian Gulf represents a significant part in the world because of its oil wealth. During the last thirty years, three wars have taken place in the region resulting in regional and global instability: the Iran-Iraq ..."
851,"An arena-based simulation of capacity planning in Stage I of the Voluntary Intermodal Sealift Agreement program 
","Brijraj, Cedric M.; Gorrick, Tyrone W.; Ncongwane, Nkosinathi N.; Rueschendorf, Stefan F.; Brijraj,  Cedric M.",2004-12,"Bottom changes occurring in Monterey Harbor from 1932-1969 were
analyzed by numerical computer methods using 15 selected hydrographic
surveys. Results of the study indicate that the major portion of the
harbor has been ..."
852,"Was it really worth the pain?: refurbishment of Mercedes-Benz trucks by Botswana Defence Force 
","Rangobana, Samuel A.; Alkebaisi, Hussain K.",2005-12,"The S/N fatigue life gage is a small sensor which is similar in
appearance to a foil strain gage. The S/N fatigue life gage is bonded
to the surface of a mechanical structure using standard strain-gage
techniques. The ..."
853,"The Iranian century: the tension between Iran and the Gulf States 
","Al Kaabi, Yousef H.; Al Kaabi, Khaled M.",2011-12,"The Armed Forces of the Republic of China have a large
number of motor vehicles for administrative use. The vehicles
were acquired from different sources in different years. In
general, the vehicles are old in age. The ..."
854,"An investigation of bottom changes in Monterey harbor (1932-1969). 
","Lennox, Richard John",1969-06,no description
855,"An investigation of the S/N fatigue life gage 
","Livingston, Gill Frederick",1968-05,"This investigation of the first Department of Defense (DOD) energy contract in California's deregulated energy market with New Energy Ventures, Inc. of Los Angeles, California is submitted as a Master of Science project ..."
856,"Resource management policy for non-combat vehicles for the Armed Forces of the Republic of China 
","Chen, Kuan-Jen",1975-03,no description
857,"The Pressure Dependence of the Solid State Reaction Between Magnesium and Teflon 
","Speckart, Eugene O.",1962-01,"Many organizations exist within the Department of Defense
which exhibit the properties of multi-channel, time-dependent
queueing systems. One such system is the Army's Acute Minor
Illness Clinic (AMIC) . Models of this ..."
858,"An analysis of the Department of Defense deregulated electricity contract 
","Lin, Robert E.",36021,Army acquisition programs are faced with increasing technical complexity and interdependence as most program products must integrate into a system of systems. Low quantity of systems engineers and poor quality systems ...
859,"On the correct handling of American imperialism : an examination of the dispute between the Soviet Union and China over Soviet policies taken with respect to the United States, 1956-1963, as a cause of the Sino-Soviet split. 
","Corgan, Michael Thomas",1975,This thesis presents the results of an experimental study of the combustion characteristics of algae and camelina derived biofuels as well as the effects of Transient Plasma Ignition in a Compression-Ignition Engine. Testing ...
860,"A simulation model for multi-channel, time-dependent queuing systems and an application to test and evaluate an analytical model of the U.S. Army Acute Minor Illness Clinics. 
","Culmer, Bruce Byron",1975,"Professional liability is a subject of recent concern to most architects
and engineers. The purpose of this paper is to trace the developments in this
field from ancient times through the Federal Tort Claims Act, to the ..."
861,"A Rationale and Framework for Establishing a Systems Engineering Community Within the Department of the Army 
","Clayton, Alan; Riva, Amie; Wiborg, Angers",2011-03,The modeling research presented in this paper of an input-output geokinetic system can be applied to problems not only in earthquake research but also to problems in siloed missile systems.  The finite element technique ...
862,"The Comparison of Hydrotreated Vegetable Oils With respect to Petroleum Derived Fuels and the Effects of Transient Plasma Ignition in a Compression-Ignition Engine 
","Carr, M. Aaron",2012-09,no description
863,"Professional liability of military engineers. 
","Hein, Gary Wayne",1980-04,no description
864,"Modeling an input-output geokinetic system utilizing a finite element approach. 
","Foos, Robert Charles",1975-03,"This thesis is centered upon an optimal trajectory generation algorithm that allows real-time control for cooperation of multiple quadrotor vehicles for intelligence, surveillance, and reconnaissance missions with minimal ..."
865,"Fog sequences on the central California coast with examples. 
","Peterson, Craig Allen",1975,no description
866,"Shear distribution and its relation to bulkhead stiffener selection 
","Palmieri, John Joseph.; Argiro, Vincent James.",1959,Local and average Nusselt numbers have been experimentally determined around the circumference of a uniformly heated right circular cylinder placed near a plane surface in a cross flow of air.  Experiments were carried out ...
867,"Coordination and Control for Multi-Quadrotor UAV Missions 
","Jones, Levi",2012-03,The M33 projectile has been analyzed using the ANSYS CFX code that is based on the numerical solution of the full Navier-Stokes equations. Simulation data were obtained against various Mach numbers ranging from M= 0.5 to ...
868,"The requirements determination process for naval weapons systems : an organizational analysis 
","Probst, Lawrence E.; Diem, Dang",1975,"Binary sequences have had application in communication systems for many years. Shift registers have been used in their generation, because of the ease and economy of their operation. For certain applications, nonlinear ..."
869,"Thermal studies of a heated cylinder placed near a plane surface 
","Köseman, Ender",1975-12,"When attempting to predict the acquisition costs of U.S. Navy surface ships, current models cannot produce a repeatable answer when the details of the acquisition program are not well defined. This thesis formulates a ..."
870,"Aerodynamic analysis of M33 projectile using the CFX code 
","Wong, Chee Heng",2011-12,"This quarter’s Compilation of Abstracts summarizes cutting-edge, security-related research conducted by NPS students and presented as theses, dissertations, and capstone reports. Each expands knowledge in its field."
871,"On the distribution of complexity for de Bruijn sequences 
","Holdahl, Robert LaVern",1983-06,The current state of the art techniques to describe and implement a hard real time embedded software architecture for missile systems range from inadequate to totally non-existent. Most of the existing software implementations ...
872,"A parametric cost model for estimating acquisition costs of conventional U.S. Navy Surface Ships 
","Loftus, Kirk J.",1999-09,"This thesis argues that the U.S. Navy should attempt to re-establish a presence in Subic Bay, Republic of the Philippines, because Subic Bay offers the best base from which to support U.S. Naval forward presence in the ..."
873,"Compilation of Abstracts, September 2015 
",Unknown author,2015-09,"This research evaluates the issues associated with a new property management concept for the use of DoD/Federal agencies to exchange serviceable, non-excess, used equipment for new equipment through a commercial exchange ..."
874,"A Layered software architecture for Hard Real Time (HRT) embedded systems 
","DaBose, Michael W.",2002-03,no description
875,"The potential role of the Philippines in U.S. Naval forward presence 
","Garcia, Thomas J.",2001-12,"This thesis is based on the presumption that a Palestinian Homeland exists. As such, it reviews some of the key legal documents which have formed the political and historical background of Palestine from the Bal four ..."
876,"A new approach to property disposal within the Federal Government 
","Harrigan, Sean P.",2001-12,The purpose of this MBA project was to review the current Masters of Executive Management education  curriculum at NPS. An internal analysis of the current program was conducted to fully understand the strategic goals  of ...
877,"Comparative study of design methods for two-way reinforced concrete slab systems: an engineering report in civil engineering. 
","Gibbs, Robert J.",1990,"With the end of the Cold War and of the predictability of bi-polar power arrangements, the opportunity to shape global security has arisen. As the sole remaining superpower the United States has an opportunity and probably ..."
878,"The legal implications of a Palestinian homeland 
","Miner, William Allen",1979-06,The purpose of this project is to develop a Supply Chain Management (SCM) certification within the Department of Defense (DoD). The report provides background information on certification and SCM. This report defines SCM ...
879,"Marketing the Masters of Executive Management program 
","Barrera, Mark A.; Karriker, Timothy W.",2007-12,National attention has been focused on the criminal offenses of Navy members while on active duty. This is due to recent incidents such as the rape of a young woman in Okinawa and the discovery of a military drug ring in ...
880,"The British-IRA prenegotiations and the effect of United States involvement 
","O'Donovan, Sean Michael.",1996-03,The Department of Defense (DoD) is increasing its demand for reliable renewable energy sources. The doubly-fed induction generator (DFIG) is widely used to extract electrical energy from wind and is a useful means for the ...
881,"Developing a supply chain management certification for the Department of Defense 
","Griffin, Timothy R.; Trinrud, Scott A.",2007-12,"Peru's Shining Path revolutionary movement is at a crossroads. With the September
1992 capture of its founder Abimael Guzman and much of its Central Committee, the
movement that appeared so strong has now been decapitated. ..."
882,"Navy personnel with in-service criminal records: characteristics of offenders and career implications 
","Lake, Miguel A.",1996-12,"The Advanced Air Deployable Array (AdDA), which is a modern air-dropped fiber optic ASW device, provides an opportunity for the rapid enclosure of a hostile submarine in shallow waters. This thesis explores the effect of ..."
883,"Reducing stator current harmonics for a doubly-fed induction generator connected to a distorted grid 
","Pierce, Seth J.",2013-09,The purpose of this thesis is to provide the essential facts about the Navy Stock Fund (NSF) portion of the Supply Management business area of the Defense Business Operations Fund (hereafter referred to as Navy DBOF (Supply)) ...
884,"Beyond Guzman?  The future of the Shining Path in Peru 
","Rix, James C.",1992-12,"This quarter’s Compilation of Abstracts summarizes cutting-edge, security-related research conducted by NPS students and presented as theses, dissertations, and capstone reports. Each expands knowledge in its field."
885,"A probabilistic approach to ASW deployment in shallow waters. 
","Aktan, Zafer Mutlu",1992-09,"This thesis analyzes the conduct of the Procurement
Management Review (PMR) within the Defense Logistics Agency
(DLA) , the Army, the Navy, and the Air Force in order to
develop a process and guide for the Marine Corps ..."
886,"Stock fund aspects of Defense Business Operations Fund 
","Chapman, Sharon R.",1992-09,"The goal of the present work was to upgrade the data
acquisition system (DAS) in the high-speed building of the
Turbopropulsion Laboratory (TPL) and to develop a high-speed
acquisition capability for pressure measurements ..."
887,"Compilation of thesis abstracts, June 2008 
",Unknown author,2008-06,"This study examines polar low formation frequency, origin region and storm tracks in the entire Nordic Sea region for a complete polar low season and identifies the prevailing synoptic situation common to polar low formation. ..."
888,"An analysis and development of a process and guide for the conduct of the Procurement Management Review within the U.S. Marine Corps. 
","Williams, James M.",1992-12,"The effects of curvature and the resulting centrifugal instabilities on local heat transfer distributions are
studied in a curved channel with a rectangular cross section and a 40 to 1 aspect ratio at Dean numbers
from ..."
889,"Upgrade and extension of the data acquisition system for propulsion and gas dynamic laboratories. 
","Wendland, Richard A.",1992-06,"The small perturbation, two-dimensional transonic equation
is manipulated with a separation- of -variables approach to
obtain two ordinary, nonlinear, differential equations.
Numerical integration of these differential ..."
890,"A climatology of polar low occurrences in the Nordic Seas and an examination of katabatic winds as a triggering mechanism. 
","Wos, Kenneth A.",1992-12,no description
891,"A study of Nusselt number distributions in a curved channel. 
","Schallert, Anthony R.",1992-06,An instrumentation and experimental technique for the measurements of electrical resistivity and the Hall effect at elevated temperatures is described.  These two temperature-dependent properties are uniquely determined ...
892,"Two dimensional boundary surfaces for planar external transonic flows. 
","Salama, Aharon",1992-03,no description
893,"Failure under alternating loads. 
","Nolan, John Jerome.",1952,no description
894,"Electrical resistivity and Hall effect of cuprous sulfide and bismuth telluride in the temperature range from 290K to 670K. 
","Erickson, Philip W.",1961,The purpose of this paper is to describe an investigation of the feasibility of development of a Zeeman modulated non-image forming infrared voice communication system using helium resonance radiation.  During the ...
895,"Asymmetric neutron flux distribution in the UTR-10 reactor. 
","Phillips, Alan Randolph.",1962,Energy levels in P³⁰ were investigated using a proton beam from the 2 Mev Van de Graaff generator at the U.S. Naval Postgraduate School.  Thin targets of high purity natural silicon and silicon enriched to 70.83 percent ...
896,"The application of describing function theory to ramp inputs and dissymetric nonlinearities 
","Miller, Donald A.; Kattmann, Roger H.",1962,"Here is a simple example of control of inherently unstable
system. An inverted pendulum pivoted on top of a cart is to be
stabilized by applying force to the cart through an electric motor.
In the electrical laboratory ..."
897,"Zeeman modulated infrared communications system using helium resonance raidation. 
","Jameson, Henry C. Jr.",1961,no description
898,"Energy levels in P³⁰ 
","Lewis, James T.; Reidl, Charles J.",1960,no description
899,"Control of a simple case of inherently unstable systems. 
","Wan, Mu-yu",1965,no description
900,"The influence of blast and earth pressure loadings on the dynamic response of flexible underground two-hinged arches. 
","Walls, Worthen Allen",1960,no description
901,"The influence of the National War College and its graduates on the formulation of United States foreign policy. 
","Frazee, Murray B.",23955,no description
902,"An investigation into the practical problems inherent in implementing advanced materiel management techniques 
","Morrow, David F.; Smeds, James H.",1964,"In order to determine the shape of the ionization curve in
nuclear emulsions at values of ϒ˃100, we have measured the blob
density of relativistic electron tracks. The pv of the pair produced
electrons used was determined ..."
903,"Investigation of the characteristics of the surface-potential controlled transistor. 
","Friedrichs, Phillip B.",1962,no description
904,"Forced oscillations in nonlinear feedback control system. 
","Wu, Tso-hai.",1962,no description
905,"The ionization produced in nuclear emulsion by very relativistic particles 
","Hanson, Harlan D.; Seng, William R.; Weidman, Russell H.",1964,no description
906,"An investigation into the control of vehicle maintenance and operating costs at selected activities. 
","Shine, Maurice J.",1964,"Dover, Delaware at mid-century was a city proud of
its colonial heritage, interested mainly in preserving its
quiet reserved way of life, its historical ""buildings and
its tree lined-streets. In 1949, Dover was reported ..."
907,"The Lebesgue-Stieljes integral as applied in probability distribution theory. 
","Van Sant, Thomas A.",1964,no description
908,"Forced vibrations of a mass on a nonlinear spring. 
","Pak, Chol Hui",1961,no description
909,"The impact of a military establishment on an adjacent community: a study of the Dover, Delaware - Dover Air Force Base comples. 
","Whelan, J. E.",1962-05,no description
910,"Economic aspects of traffic congestion in the Lake Washington Ship Canal system. 
","Harned, David Warren.",1964,no description
911,"The evaluation of steam and high temperature water heating system alternatives for a naval air station. 
","Shafer, Willard G.",22433,"In order to begin a study of magnetohydrodynamic (MHD)
effects in high temperature gases, it was decided to develop a plasma
torch as a generator of the required high temperature gases e A device
was needed that could ..."
912,"Reducing supplier oversight : an analysis of supplier quality assurance practices used by Defense Contractors and Malcolm Baldrige National Quality Award Winners. 
","Santiago, Rolando Melchiades",1991,"The purpose of this paper is to evaluate an existing government
owned and operated central heating system to determine if a more economical
method of providing steam requirements can be determined. Five
possible solutions ..."
913,"Examination of a military application of the small gas turbine with waste heat boiler. 
","Rumble, James D.",22767,no description
914,"Experimental comparison of methods of generating hot plasmas 
","Anderson, Walter Ivar",1961-05,no description
915,"The evaluation of a central heating system for a government facility 
","Burns, William J.",1960-06,"North Korea's pursuit of nuclear weapons has shaken the foundations of U.S. policy in Northeast Asia. Because of North Korea's record of state-sponsored terrorism, illicit activities, human rights violations, arms sales, ..."
916,"Externally excited traveling pulses in a neon glow discharge. 
","Ratto, Lawrence J.",1964,"An investigation of the dynamic response of transient pressure
transducers intended for use in liquid propel lant rocket combustion
chambers was undertaken. Shock tube testing included optimization of
operating techniques ..."
917,"An exact method of servomechanism compensation using S-plane concepts, and an analysis of the effect of passive networks upon steady state performance. 
","Pollak, Charles D.",1960,no description
918,"Carrot, stick, or sledgehammer: U.S. policy options for North Korean nuclear weapons 
","Orcutt, Daniel J.",2004-06,"A survey of developments in the field of crack
propagation and an experimental investigation of the
strain distribution around fatigue cracks in flat
aluminum sheets was conducted by Lt. E. B. Tucker, USN,
at the ..."
919,"Dynamic response testing of transient pressure transducers for liquid propellant rocket combustion chambers 
","Bentley, William C.; Walter, Joseph J.",1963-05,no description
920,"Experimental evaluation of several high performance surfaces for compact heat exchangers. 
","Piersall, Charles H.",1965,"This is a continuation of the wwork of assembling and testing the equipment necessary to conduct gamma-gamma angular correlation experiments, started by Fort A. Verser, Jr. at the US Naval Postgraduate School (1).  No ..."
921,"Investigation of strain distribution around fatigue cracks in aluminum sheets 
","Tucker, Edwin B.",1965,"One of the numerical operational products of the United States
Navy Fleet Numerical Weather Facility (FNWF) is the objective analysis
of 500- mb contours on a hemispheric basis. Up to mid 1965, this analysis
has been ..."
922,"An X-band ferrite phase shifter. 
","Roach, Francis LeRoy.",1964,"As efforts continue to effectively utilize the microwave frequencies
a need is apparent for a traveling wave type device capable of handling
greater power at higher frequencies . One possible solution is the
plasma ..."
923,"Gamma-gamma angular correlation in the decay of cobalt-60 
","Conway, Burton J.",1961,no description
924,"An experiment in modifying objective 500-mb contour analyses using Tiros IX nephanalyses 
","Casimes, Theodorer C.; Swor, Jerry G.",1965,no description
925,"Helix-plasma coupling 
","Jones, Colin M.",1963,no description
926,"Cancellation of Federal oil 
","Blair, Richard E.",1962,no description
927,"An investigation of the scheduling aspects of multiprogramming. 
","Wilder, Wallace G.",1964,no description
928,"A thermal testing facility for the Aeronautics Department at USNPS. 
","Wilcox, Bruce A.",1965,"The root-locus technique used in the determination of system response
has been a powerful tool for the engineer. Shortcomings of the technique,
however, particularly in regard to the locations of imaginary roots and
the ..."
929,"Flight simulation of the longitudinal motions of another aircraft 
","Zink, Stewart T.; Wiltsie, Russel E.",22037,no description
930,"An analysis of the bulk petroleum logistic system. 
","Wampler, Richard Bond.",1964,"This paper reports the results of an analysis of a current regulating system for a cyclotron bending magnet at 90'' cyclotron, Lawrence Radiation Laboratory, Livermore, California.  The analysis was conducted in order to ..."
931,"Extension of the root-locus technique into three dimensions 
","Hilder, Leonard O. Jr.; Geer, Richard G.",1964,"One of the major objects of current plasma pinch research is an
understanding of turbulence and its effects in enhanced diffusion rates
within a pinch. As an approach to this problem, the electron beam pinch
was conceived. ..."
932,"The behavior of air bubbles in acoustic fields. 
","White, William A.",1963,"This paper presents a new numerical method for solving
Schroedinger 's equation in radial form in order to get a set
of wave functions for use as starting values in the solution
of the Fock equation. As a necessary ..."
933,"An analysis of a current regulator for a cyclotron bending magnet 
","Chanslor, Richard M.",1963,"The pressure of time, competitive atmosphere of service life, and often authoritarian nature of officers frequently cause seniors to overlook their responsibilities for the timely development of subordinate officers.  The ..."
934,"Electron beam pinch 
","Horton, Edward R.; Spoerlein, Ross L.",1960,"Digital computers presently in production are all binary logic machines, in that they are built with elements that have two stable states.  Greater efficiency in computer speed and hardware would be obtained if elements ..."
935,"Energy of the most loosely bound electron for ions of copper, silver, and gold. 
","Harris, Leonard H.",1961,"The very low frequency band has been characterized by
its extremely reliable propagation since the early days of
radio. Recent development of oscillators accurate to a few
parts in lO-H have made it possible to navigate ..."
936,"Executive development of officers through coaching. 
","French, Henry A.",1964,"The time-thickness variation of a film of Castor Oil was determined
under conditions of high intensity-short duration loading.
This was accomplished through the use of a light measurement technique
and a test unit ..."
937,"An experimental study of the uses of ternary logic in digital computers. 
","Friichtenicht, Richard D.",1964,"A general method for the analog simulation of an n order digital
discrete compensator in a sampled-data servo system is presented,, The
method employs operational amplifiers such as are found in ordinary
laboratory ..."
938,"An investigation into the use of very low frequency transmissions for ship navigation. 
","Lake, Rodney D.",1965,"In this thesis, the gain of the magnetic amplifier is derived theoretically
as a function of different parameters of the circuit. An experimental
circuit of a series-connected magnetic amplifier with a
resistive load ..."
939,"An investigation of lubricant film thickness under conditions of high intensity-short duration loading. 
","Klorig, William N.",1965,"The realization of a transfer impedance with a single complex pole
pair through RC active synthesis has led to applications in low pass
circuits . One active source properly loaded will have the same percent
change in ..."
940,"An analog simulation of a discrete compensator for a sampled-data system 
","Enos, Ralph Lindsay",1960,"An investigation of program exchange techniques and methods of
evaluating such procedures is conducted. Basic hardware and system
parameters vitally affecting program exchange are discussed. The basic
program exchange ..."
941,"Gain of the magnetic amplifier. 
","Thuc, Do Kim",1962,"Sampled-data control systems generally have fixed sampling
frequencies which must be set high enough to give satisfactory
performance for all anticipated conditions, A study is made
here of an adaptive system which ..."
942,"High Q complex pole realization by RC active network synthesis. 
","Dwyer, Laurence A.",1960,"The heat transfer and pressure drop of water flowing both upward
and downward In an annulus were investigated. The data were obtained
from a vertical narrow space annulus which was formed between 1.240
in. I. D. and ..."
943,"An investigation of program exchange methods for multiprogramming environment. 
","Hatch, Ross R.",1964,"The objective of this thesis is to investigate a Wideband Leakage Cancellation Circuit (WLCC) to facilitate potential improvement of range resolution in single antenna Frequency Modulated Continuous Wave (FMCW) radar, as ..."
944,"Adaptive sampling frequency for sampled-data control systems 
","Farren, Merritt C.; Phillips, Charles A.",1960,This research project evaluates the budgeting and execution process of Camp Pendleton Medical Treatment Facility  (MTF) and how the proposed prospective payment system (PPS) impacts the traditional way of funding MTFs. The ...
945,"Pressure drop and heat transfer in a vertical internally heated annulus. 
","Liu, Kuang-Ming",1961,"The Commander Naval Air Forces is analyzing the entire Naval Aviation training process to deliver the same quality of training but at a lower cost. This thesis documents the Systems Engineering process completed to conceive, ..."
946,"Conceptual design and software simulation of a wideband leakage cancellation circuit 
","Ang, Teo Hong",2010-12,"With digital storage becoming cheaper, bigger, and more prevalent, finding evidence from the hard drives collected for a case is too difficult and time consuming. Simply reading an entire drive takes hours and it takes ..."
947,"Analysis of Camp Pendleton California Medical  Treatment Facility budget and execution process 
","Constantino, Dominador D.",2008-12,The Cognitive Radar (CR) is a new field for radar research. Its basic characteristics are introduced in this thesis. Two specific types of waveforms are used in this research; wideband and an adaptive waveform called ...
948,"A systems analysis of strike Naval Aviation training 
","Nekomoto, Tyler Y.",2013-06,"This paper examines the possibilities of using ions in a flowing gaseous medium for charging electrostatic generators of the Van de Graaff type.  Within the limits of the experiments made, it is concluded that this charging ..."
949,"Optimal sector sampling for drive triage 
","Taguchi, James K.",2013-06,no description
950,"Waveform design compensation for moving extended targets 
","Mourtzakis, Emmanouil",2013-06,no description
951,"Charging systems for electrostatic generators 
","Truax, Robert C.",1953,"The desired response of a logical network can be expressed
as a one column matrix of bistable elements, defining the ""function""
of the network. To date methods of logical network synthesis and
simplification have been ..."
952,"A density analysis of a developing deep trough in the westerlies. 
","Bayly, Donald C.",1952,no description
953,"Personnel inventory projection, enlisted (PIPE) 
","Greenhalgh, William T.; Harper, Thomas J.; Meeks, Thomas L.; Metcalf, Joseph",1964,"Pre-entry screening of applicants for the Marine Corps Officer
Candidates Program consists of interviews, intelligence testing,
medical examination, review of academic records, and consideration
of third person character ..."
954,"An investigation of the symmetric properties of logical functions 
","Barr, Robert M.",1960,no description
955,"Organization of structured information for mechanized retrieval operations and some related efficiency considerations. 
","Twite, Martin J.",1964,no description
956,"Prospects for use of non cognitive tests in selection of U.S. Marine Corps officer candidates 
","Barrett, Roscoe L.",1964,no description
957,"Profile of the Navy field comptroller 
","Bow, J. Robert.",1962-05,no description
958,"A proposal for improving the operational training and evaluation of selected reserve crews of the antisubmarine warfare component (surface). 
","Daly, Norman Francis.",1962,no description
959,"Kinematics of atomic charge-transfer collisions. 
","Slotboom, David R.",1963,no description
960,"Investigation of the free convection heat transfer characteristics of single horizontal screen matrices. 
","Metschel, John J.",1960,"A digital computer program which will provide accurate and stable solutions of linear and nonlinear ordinary differential equation is described, as are subprograms which simulate many of the nonlinearities occurring in ..."
961,"A war-game analysis of an undeveloped submarine detection system. 
","Haworth, Alvin G.",1965,"Ar experimental and theoretical analysis of a rotating system with
flexibly supported, viscously damped bearings is described. The. theoretical
development is ba«ed on the differential equations of motion of
the mass ..."
962,"Effects of backlash in the second order servo. 
","New, Noah C.",1960,no description
963,"Digital computer solution of linear and nonlinear ordinary differential equations 
","Cooper, David S.; Knepper, Donald E.",1964,no description
964,"Critical speeds of a rotating system with flexible, damped supports. 
","Crater, Ray F.",1962,"A radially vibrating, oil filled, cylindrical ceramic transducer devoid
of all forms of pressure release provides a means of transmitting sound
at unlimited depths. A study was made of the admittance characteristics
in ..."
965,"Investigation of radio-frequency mixing in a helium magnetometer. 
","Herman, Stanley A.",1962,"The aluminum oxide crystal, , Al₂0₃, doped with a small amount of
chromium, which is called ruby, is widely used in solid state physics
research and applications. The experimental work described in this
thesis is concerned ..."
966,"Gamma-gamma angular correlation in the decay of cobalt 60. 
","Verser, Fort A.",1960,"For the purpose of studying the effect of varying quality upon the
pressure drop accompanying isothermal, two phase, two component flow 9
a horizontal, one- inch flow channel of circular cross section, into which
air ..."
967,"Investigation of a radially vibrating, oil filled cylindrical ceramic transducer with a variable internal impedance and devoid of all forms of pressure release 
","Jarratt, Guy C.",1963,no description
968,"A precise determiniation of the fine structure constants for Cr(3⁺) in ruby. 
","Hutton, Gary D.",1965,no description
